"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC"
"BootSwitch1,RSTSwitch1","2","SAMZO G4R0015010","","","","C49393646"
"C1,C3,C7,C10,C11,C12,C14,C15,C16,C18,C22,C24,C25,C31,C32","15","100nf","","","","C49678"
"C4,C13,C17","3","1u","","","","C28323"
"C5,C30","2","4.7u","","","","C98192"
"C8,C9","2","2.2u","","","","C19110"
"C19,C20","2","18p","","","","C170109"
"CAN_IN1,CAN_OUT1","2","CAN","","","","C17644051"
"CN1","1","Limit Switch Connector 1","","","","C158012"
"CN2","1","Limit Switch Connector 2","","","","C158012"
"D1,D2","2","D_Schottky","","","","C113936"
"D4","1","SRV05-4.TCT","","","","C13612"
"D5","1","ws2812b","","","","C2761795"
"FB1","1","FerriteBead","","","","C85840"
"J1","1","Microsemi_FlashPro-JTAG-10","","",""," C22438120"
"J2","1","USB_C_Receptacle","","","","C165948"
"J3","1","Micro_SD_Card","","","","C164170"
"J4,J5","2","Screw_Terminal_01x02","","","","C158012"
"J6","1","Conn_01x05_Pin","","","","C157991"
"J7","1","Conn_01x04_Pin","","","","C131334"
"PowerLED1","1","RLED","","","","C965799"
"R1,R11","2","27r","","","","C17594"
"R2","1","120r","","","","C269726"
"R3,R4,R9,R10,R12,R13,R14","7","10k","","","","C84376"
"R5","1","1k","","","","C95781"
"R6,R7","2","5.1k","","","","C27834"
"R8","1","33r","","","","C126353"
"U1","1","SN65HVD230","","","","C1543812"
"U2","1","LDL1117-3.3","","","","C435835"
"U3","1","STM32F405RGT6","","","","C15742"
"U5","1","LSM6DS3TR-C","","","","C967633"
"U7","1","Bosch BMP388","","","","C779278"
"Y1","1","8mhz","","","","C19723344"
